date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:16	603436/603436	---M--	200	added ('OK')	image/jpeg	etag:dbf5121d9f710324ea9bd1eb16735faf	https://cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/2dc4b467-afb7-4cb2-9bf8-577dd0e90b44.jpg?h=623cd6e1bf5bbe1d174ad0033df41854	C:/My%20Web%20Sites/Matt%20Prior%20Watson/cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/2dc4b467-afb7-4cb2-9bf8-577dd0e90b440134.jpg	(from https://mattpriorwatson.co.uk/contact)
01:03:18	75577/75577	---M--	200	added ('OK')	text/css	etag:b5378be9fcc04efe5ac93dd6b74214a4	https://cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/b3f5029e0ef185322c7b4fabb19cbbc51721180245.css?h=32704d22d05e62822339e6c65a265890	C:/My%20Web%20Sites/Matt%20Prior%20Watson/cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/b3f5029e0ef185322c7b4fabb19cbbc5172118024573ea.css	(from https://mattpriorwatson.co.uk/ring-eclipse)
01:03:18	245007/245007	---M--	200	added ('OK')	image/jpeg	etag:b899768a5a5b16853dff5785ee7b4b1a	https://cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/2dc4b467-afb7-4cb2-9bf8-577dd0e90b44_rw_1920.jpg?h=c989e403c349058d93f74cd246c9dccc	C:/My%20Web%20Sites/Matt%20Prior%20Watson/cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/2dc4b467-afb7-4cb2-9bf8-577dd0e90b44_rw_1920b5a3.jpg	(from https://mattpriorwatson.co.uk/contact)
01:03:21	6893653/6893653	---M--	200	added ('OK')	image/jpeg	etag:01cb9f6b4a2ad9a52b4d75abc397b820	https://cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/b5a509fd-45cc-45fd-99c6-455775a0e131.jpg?h=70a06e5414139c6df455c070f3b374db	C:/My%20Web%20Sites/Matt%20Prior%20Watson/cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/b5a509fd-45cc-45fd-99c6-455775a0e13135b7.jpg	(from https://mattpriorwatson.co.uk/stills)
01:03:38	1163456/1163456	---M--	200	added ('OK')	image/png	etag:1ab759cde986c44797bac6b31e5a0ff0	https://cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/f4cb6a28-1c4e-416a-8f64-ae0f6ed0c62f_rwc_857x0x2693x2106x2693.png?h=44d9ea57efe96fddb407686e3b8a5e5f	C:/My%20Web%20Sites/Matt%20Prior%20Watson/cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/f4cb6a28-1c4e-416a-8f64-ae0f6ed0c62f_rwc_857x0x2693x2106x26936020.png	(from https://mattpriorwatson.co.uk/ring-eclipse)
01:03:39	1234637/1234637	---M--	200	added ('OK')	image/jpeg	etag:d46d86694f64725096c3d5936dc31155	https://cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/d26c5cad-92fc-488a-b281-7c21428b1d1d_rwc_857x0x2693x2106x2693.jpg?h=5ee2417ef61ce199b9cd35bbbf982637	C:/My%20Web%20Sites/Matt%20Prior%20Watson/cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/d26c5cad-92fc-488a-b281-7c21428b1d1d_rwc_857x0x2693x2106x2693341f.jpg	(from https://mattpriorwatson.co.uk/ring-eclipse)
01:03:39	1047962/1047962	---M--	200	added ('OK')	image/jpeg	etag:0b06ce99d903d09ca19e2f578d0d2259	https://cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/5433b43b-83f2-4f69-9ff1-3f2f938116c3_rwc_857x0x2693x2106x2693.jpg?h=11cc4b5b4ca1ab1796be3df32840399b	C:/My%20Web%20Sites/Matt%20Prior%20Watson/cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/5433b43b-83f2-4f69-9ff1-3f2f938116c3_rwc_857x0x2693x2106x269333ea.jpg	(from https://mattpriorwatson.co.uk/ring-eclipse)
01:03:39	75577/75577	---M--	200	added ('OK')	text/css	etag:6097541ef011808cee5de80ce7671356	https://cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/7cd3443b198329cf71cd1f58827949e31721180245.css?h=e0014729c0e5904d147848cf114e1505	C:/My%20Web%20Sites/Matt%20Prior%20Watson/cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/7cd3443b198329cf71cd1f58827949e3172118024583f5.css	(from https://mattpriorwatson.co.uk/the-butler-dunnit)
01:03:40	2451172/2451172	---M--	200	added ('OK')	image/png	etag:b96cb65fabf839f25a911b11655ef506	https://cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/b1ce673d-0839-4be4-87d8-3a5206dd7b87_rwc_857x0x2693x2106x2693.png?h=85795cc7429cbf95f881c19f7913ba21	C:/My%20Web%20Sites/Matt%20Prior%20Watson/cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/b1ce673d-0839-4be4-87d8-3a5206dd7b87_rwc_857x0x2693x2106x26931308.png	(from https://mattpriorwatson.co.uk/the-butler-dunnit)
01:03:41	75577/75577	---M--	200	added ('OK')	text/css	etag:d8ba2ef2c7dadf346f489837b7345ac2	https://cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/a72cf26e2360dc220414489ab6a6018c1721180245.css?h=32b55f252bc5a33ad3091d9141606008	C:/My%20Web%20Sites/Matt%20Prior%20Watson/cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/a72cf26e2360dc220414489ab6a6018c172118024553f0.css	(from https://mattpriorwatson.co.uk/sounds-like-a-you-problem)
